RegistrationNo,CompanyName,BuildingNumber,StreetName,TownName,CountrySubDivision,PostCode,Country
2549006N4GFE7FY84O69,VASSALO TECHNOLOGIE,Rué,"2, Rue Robert Giraudineau",Vincennes,,94300,FR
2549000CDIJBSPSBSW08,LexisNexis Business Information Solutions Holding,,Rue de Javel,Paris,FR-IDF,75015,FR
2549007UOK65ZTYP7R17,T2C,rué CS 48756,"58, Rue de Monceau",Paris,,75380,FR
2549007TUBOXRQBQEV06,XPERT DIGITAL SECURITY,,"11, Allée des Érables",Plaisir,,78370,FR
254900SI5K5TRWYHQW25,UdaSoft Ventures,Rué,"28, Rue Saint-Lazare",Paris,,75009,FR
254900R519M7Q34GAU64,L'éveil des sens,,"60, Rue François 1er",PARIS,FR-IDF,75008,FR
254900S11EOT02GSH197,Groupe HG,Bruxelles,"37, Rue de l'Industrie",TOULOUSE,,31000,FR
254900VWZRJO9CEBAA07,MONCENIS,chez Vincent Moncenis,"13, Rue des Graviers",Neuilly-sur-Seine,FR-IDF,92200,FR
2549005ICE88E11X9669,SELARL DR HADDAD PARIS LILAS,Les Lilas,"41, Avenue du Maréchal Juin",Paris,FR-IDF,93260,FR
254900RDOEQ7UBPM4Y54,Unframed,B,"91, Route de Pessac",GRADIGNAN,,33170,FR
254900MIDNGD4U589H28,SNC HEREP III CHARENTON,66 L'avenue Charles-de-Gaull,,Neuilly-sur-Seine,,92200,FR
254900XDFJOVZDFCIU18,ADRIEN INSIGHTS,,"175, Avenue du Grand Vallat",AIX-EN-PROVENCE,,13100,FR
254900JRWM5L6DITRB55,ACE VISION TECH,,"55, Rue Rouelle",PARIS,,75015,FR
2549002FA574JW9VWT77,Feranor,,"27, Rue Charton",OULLINS-PIERRE-BENITE,,69600,FR
25490056E9RU273UPQ37,UXCO HACKER PROPCO,,"125, Rue Gilles Martinet",Montpellier,,34070,FR
254900P177X6N8RLWK72,MAEK HOLDING,Rougé,"26, Rue du Chapeau Rouge",Lyon,,69009,FR
2549003S1SJ94WODKP53,VEG Invest,Lé Canvolan 278,Chemin de Crouze,Tignes,,73320,FR
2549007VE8Z85P41K609,Biscuit & Food Engineering,,"22, Rue des Jonquilles",SAINT-SEBASTIEN-SUR-LOIRE,,44230,FR
254900NGATWQS2LY7J71,S P F T,,"4, Avenue Hoche",Paris,FR-IDF,75008,FR
254900O7NMKG6OE4GW72,FINWISE,,"60, Rue François 1er",Paris,,75008,FR
254900TX3XVMUDBO5K74,NIKOZEN,Chémin,"1200, Chemin de la Foux",Mouans-Sartoux,,06370,FR
254900SVH1VU8X7NZM23,Grrif Burger,,"2656, Avenue de la Chalosse",BAIGTS,,40380,FR
254900QO23PW7VNXOG42,AMD Invest,Résidence Le Prémou Chemin de Crouze,,Tignes,,73320,FR
254900G5M2KAC8L7MU97,OMPHALOS,,"19, Rue Damrémont",Paris,,75018,FR
254900RF4PQ0FGGV9K42,Ceres Groupe SAS,rué,"5, Rue de la Baume",Paris,,75008,FR
254900V3F2QIO0SI7H68,Tango BidCo,Hoch,"8, Avenue Hoche",Paris,FR-IDF,75008,FR
2549009LTTH7IK77GA63,LS2P Avocats,boulévard Avocap 2.2,"222, Boulevard Saint-Germain",Paris,,75007,FR
254900BTXGHXQIH0V527,A.A.A. CONCEPT,Principalé,"34, Rue Principale",DoméliersDoméliers,,60360,FR
254900BAVZ7TWIQMNB73,INGE-DISTRIBUTION,Vitry-en-Artois,,Vitry-en-Artois,,62490,FR
2549006A1EWXUGTBSC76,AKS GROUP,RENE,"26, Rue René Char",AVION,,62210,FR
2549007WGB7XTI9CVU81,GM118,Rué,"61, Rue de Lyon",Paris,,75012,FR
254900WLW6A44VDNJL87,Net-Progress,Rué,"14, Rue Louise Michel",Eysines,,33320,FR
254900BUNK6F97XOHL43,La Compagnie du 21 Juin,Rué,"9, Rue Pierre Demours",Paris,,75017,FR
254900LV3VDC59LTJH21,RASCASSE,"Nordstrand, 76",Via Nova,Fréjus,,83600,FR
254900VOYXL7EN2SN322,NSM Invest,bd,"18, Boulevard de Lorraine",Marseille,,13008,FR
254900A5L9ELY1U2S642,DV VENTURES,rué,"159, Rue Legendre",Paris,,75017,FR
254900LW6CU9LTPU2P98,Nouvelle famille heureuse,Clémenceau,"18, Avenue Georges Clemenceau",Vincennes,,94300,FR
254900EC7Q96AREC4122,Pearlcraft,SEVRES,"107, Rue de Sèvres",PARIS,,75006,FR
254900GG0E7LWD9GG039,CODRIOTECH,"48, Appt 48","8, Allée Paul Langevin",Champs Sur Marne,,77420,FR
2549002HNZ0KS1SNE528,GROUPE ADAM,Rué,"38, Rue de l'Est",Saint-Quentin,,02100,FR
25490048I4VXPY3LD832,SNC NLH Marne,,"95, Rue La Boétie",Paris,,75008,FR
254900JHTQ63XG0VF542,CLEAR2PAY FRANCE,,"1, Rue Eugène et Armand Peugeot",Rueil-Malmaison Cedex,FR-IDF,92508,FR
254900QRTVLYV3YBWO98,Bulldog Vanves SCI,"Pacific Tower 11-13, Cours Valmy La Defense",,Paris,,92977,FR
254900U1KJSZLPR7TZ05,FIDV CONSULT,,"113, Chemin de la Chaleur",CHASSIGNIEU,,38730,FR
254900ZT8NZKLDHCC484,NJL holding,7 RUE AUGUSTE RODIN,,LE COUDRAY,,28630,FR
2549007MGG54HGV1KK03,Horizon France HoldCo,(è),"92, Avenue de Wagram",Paris,FR-IDF,75017,FR
2549001YA4X11C5POV03,BorgWarner France Holding SAS,Rué,"1, Rue des Merlettes",Le Pecq,FR-IDF,78230,FR
254900YFHPY7UZAUB408,Valorian,bis,"11, Cité de Trévise",Paris,,75009,FR
254900KOO9IE9CZAPN35,FNetwork,"proérfesseur, ranvi","66, Rue Professeur Ranvier",Lyon,,69008,FR
254900XHMOM9S02AEN50,CERF KINETIC FRANCE PROPCO SNC,32-34 avenue Kléber,,Paris,,75016,FR
2549009OPU20WD3SC474,PONTINE GROUPE,SAINT JAMES,"20, Avenue du Parc Saint-James",NEUILLY SUR SEINE,,92200,FR
2549001TRU2QIGEKGJ87,DECRYPT,Cupréssus,"3, Impasse des Cupressus",Pornichet,,44380,FR
254900A61ZVCGANXB677,LQS Consulting,d'Alsacé,"38, Rue d'Alsace",Clichy,,92110,FR
2549009RUAF9YOMW4E20,MAS OCTAVE,"Dalseme, Meudon","6, Rue Claude Dalsème",Paris,FR-IDF,92120,FR
254900FA0MZEENWMOM98,ALBACOR,"Dalseme, Meudon","6, Rue Claude Dalsème",Paris,FR-IDF,92120,FR
2549008P9CCWHH7LYD48,BARTAVELLE DEUX,"Bellecote, Courchevel 1850","646, Rue de Bellecôte",Savoie,FR-ARA,73120,FR
254900T0RN4JLZYSCV45,LAZARE,"Dalseme, Meudon","6, Rue Claude Dalsème",Paris,FR-IDF,92120,FR
254900DTTFOC83HCLW30,SCI VARENNE 94,Copèrnic,"33, Rue Copernic",Paris,,75016,FR
254900ICFN64TM5HDM23,Nexteer Automotive France,"Avenué, Immeublé Rabelais, Zac Paris Nord II, Villepinte","22, Avenue des Nations",Paris,FR-IDF,93420,FR
254900UK67LRN4RDF496,Groupe La Mayonnaise,Ld La Mousserie,,Villeneuve-les-Genets,,89350,FR
254900YLCZDXL1X0F681,JL Innov,,"12, Rue Piccini",Paris,,75116,FR
254900OHI02TNOR92C82,HPREF II NS MONTREUIL SNC,-91,"91, Rue du Faubourg Saint-Honoré",Paris,,75008,FR
254900BC5ITHNXIDU030,HPREF II NS CANNES SNC,89-91,"89/91, Rue du Faubourg Saint-Honoré",Paris,,75008,FR
254900PELVFW7HKH1280,HPREF II NS SAINT-DENIS SNC,"89, 89 -91","91, Rue du Faubourg Saint-Honoré",Paris,,75008,FR
254900SV5IJWI2EQEU05,HPREF II NS LILLE SNC,,"91, Rue du Faubourg Saint-Honoré",Paris,,75008,FR
254900RHFU1ZBOBKII27,HPREF II NS ISSY SNC,89-91,"89/91, Rue du Faubourg Saint-Honoré",Paris,,75008,FR
25490036E694VJIMZ597,SYSTEME DEV,Routé Cret,"27, Route du Crêt d'Esty",Chavanod,,74650,FR
2549003XY09DB5SDKF83,GAFKA,,"4, Allée des Framboisiers",Athis-Mons,,91200,FR
254900TG9DH73CTTA461,ZEN HLD,179,Avenue de la République,Noyelles-Godault,FR-HDF,62950,FR
254900FKSS34DZ2GDW37,FORIS DAX FR,,"29, Rue de Courcelles",Paris,FR-IDF,75008,FR
254900IB4THTCMR26R21,SEM INVEST,,"1, Place du Languedoc",Saint-Marcel-d'Ardèche,,07700,FR
254900HYC50MXXGPA966,HEXACO,Parc 2000,"244, Rue Claude François",Montpellier,,34080,FR
254900L5BKAK6QNY7759,Barings Core Fund VLG SCI,,"24-26, Rue de la Pépinière",PARIS,,75008,FR
254900POQICWCBBJWI61,GENERALWEB.FR,,"20, Grande Rue",Égly,,91520,FR
254900HTIA5QN6P1CG20,Lendnest,,"3, Boulevard de Sébastopol",Paris,,75001,FR
254900862RQ9UG0QLS44,CC Management,34 RUE ARISTIDE BRIAND,,MAXEVILLÉ,FR-GES,54320,FR
254900IBW4TRJP8PGY96,FM Invest,422,Rue du Maréchal Foch,margny les compiegne,,60280,FR
25490074KKYPGGMIKZ84,Phoenix Quartet Property 1 EURL,37 Serbié,Avenue Pierre 1er de Serbie,Paris,,75008,FR
254900FJS6ZHPX44C610,Phoenix Quartet Property 3 EURL,dé,"37, Avenue Pierre 1er de Serbie",Paris,,75008,FR
254900EFHPS1CA38Y874,Phoenix Quartet Property 4 EURL,,"37, Avenue Pierre 1er de Serbie",Paris,,75008,FR
254900DF55XUTBEK3L47,Phoenix Quartet Property 2 EURL,37 Serbié,Avenue Pierre 1er de Serbie,Paris,,75008,FR
2549004ZJ7KGLOP28A28,Phoenix Paris North Property SNC,37 Serbié,Avenue Pierre 1er de Serbie,Paris,,75008,FR
2549003UAOQP3ZGLSN05,ALLOMISSION,,"66, Avenue des Champs-Élysées",Paris,,75008,FR
254900Q6HXN1DJRAS798,SCI ROSE PREMIER,,"17, Rue de Grenelle",Paris,,75007,FR
636700RQZQ6OJ73K6H64,SCI 21 RdlP,rond point Champs-Elysées,"1, Rond-Point des Champs-Élysées Marcel-Dassault",Paris,FR-75C,75008,FR
254900H30UJBDLP6H068,SMART MOMENTUM INVEST,,"7, Rue d'Oultreman",VALENCIENNES,,59300,FR
254900OSGLHTUHWENU58,BDEBON,Rué,"79, Rue Chantecrit",Bordeaux,,33300,FR
254900QMT37I6SM3V314,piochaud company,38,Rue Lamartine,MALMAISON,,92500,FR
254900WS2EC23ZG9RQ41,Neuro-Technologies,46.69A - Commerce de gros de matériel électrique,,Semilly,,52700,FR
254900T563YRAM8U5Q19,WWWINVEST,Chem.,"542, Chemin de Fontcuberte",Venelles,,13770,FR
254900PZQPCYC5D8O265,24 RCLV,dé,"162, Boulevard de Fourmies",Roubaix,FR-HDF,59100,FR
254900MLPTB252V90023,KANDA,RUé,"17, Rue Marcadet",PARIS,FR-HDF,75018,FR
254900CLH07DA41Y6328,VIQRX FR Holdco 4,Ier,"33, Rue François 1er",Paris,,75008,FR
254900AGDOCB5GIL0B46,Neuf Ponts Capital,rué,"18, Rue Bausset",Paris,FR-IDF,75015,FR
2549006MOXMQO28MGI91,FOTOLOCO,SAINT-JEAUME,"557, Chemin de Saint-Jaume",CHATEAUNEUF-GRASSE,,06740,FR
254900W9BTOSNMFG4057,AWYME CONSULTING,231 STREET SAINT-HONORÉ,,PARIS,,75001,FR
25490081HX1B09ZAS058,CABINET RABE ET ASSOCIES,"Smile Coworking Office, Zac Cap Malo",Avenue du Phare de la Balue,La Meziere,,35520,FR
2549003M0CIGOCDEEA03,Nivolis,B,"49, Rue de la Chapelle",VILLEJUIF,,94800,FR
2549005SZJQXBHN20257,L’EcoVilla du Bassin,45 B Rué,"45b, Rue des Huttiers",Audenge,FR-NAQ,33980,FR
2549001AUOCWSCP6XN67,HBFS Cloud,treillé,"27, Rue de la Treille",Paris,,95490,FR
2549001R4N449RXDYF76,Boreal Industrial France Propco 1 SCI,rué,"3-5, Rue Saint-Georges",Paris,,75009,FR
254900228S6KM48O9S52,"Jefferies Finance Europe, S.L.P.",rué,"3, Rue du Colonel Moll",Paris,FR-IDF,75017,FR
2549001G8ESJKILNN377,SPFPL PONCHON-BRUYERE,De Dame Noiré,"2, Rue des Dames",Saint Galmier,,42330,FR
2549001O4WH0VF293C48,TETRA INVESTMENTS SAS,Pl. Bérnard,"7, Place Tristan Bernard",Paris,,75017,FR
254900FNL4389172WF29,Boreal Industrial Bussy Propco SCI,Rué,"3-5, Rue Saint-Georges",Paris,,75009,FR
254900PZ6L9CF2SG4152,Boreal Industrial Calny Propco SCI,Säint-Georges,"3-5, Rue Saint-Georges",Paris,,75009,FR
2549007MCB5BVJ81MW28,Boreal Industrial Lagny Propco SCI,rué Saint- Georges,"3-5, Rue Saint-Georges",Paris,,75009,FR
254900NY9904729VZT96,de Ravel Group,,"229, Rue Saint-Honoré",Paris,,75001,FR
254900Z6UEE370F6ZN65,Southtree Capital,dé,"107, Chemin de la Treille",Saint-Cezaire-sur-Siagne,,06530,FR
254900WMY8U20CCC0874,MARQUES IDEALES,Tecnosud II,"266, Rue Gaïa",Perpignan,,66100,FR
254900RJID1QHY86TJ48,ARAVIHI,23-25 Dé,"23, Rue de la Tour",PARIS,,92240,FR
254900BBQMGG10DO0B53,SCI LORANE,"C/O EURIPE SARL, SEYOND","3, Rue du Champ de la Vigne",ANNENCY,FR-PAC,74600,FR
25490016I4JBKH9S9T87,MERGE MONEY,rué Saint-Honore,"229, Rue Saint-Honoré",Paris,FR-IDF,75001,FR
254900GY3ZACLK0P8L20,DES HAYETTES,"Gilly, Rué","58, Rue des Hayettes",Bruay-La-Buissiere,,62700,FR
254900Q87E8MXJBTDV66,HOLDBE,"408, àppT 408","33, Rue de Douai",Lille,,59000,FR
254900GFG65LBDOCM453,Mojo Partners,17 Voié Romaine,,Crochte,,59380,FR
254900FSBYQBVGFPKG30,LIKESHARE,Rué,"6, Rue les Cochets",Vire,,71260,FR
254900GY110J2DMJ8F65,TotalEnergies EP Angola,La Défense,"2, Place Coupole Jean Millier",Courbevoie,FR-IDF,92400,FR
2549004JLLNMWPB3O777,YIELDY,PRES,"12, Avenue des Prés",MONTIGNY-LE-BRETONNEUX,,78180,FR
2549008BE9SO33AM9V98,SCI SAINT-MICHEL,CONNETABLE,"79, Rue du Connétable",CHANTILLY,,60500,FR
254900O6QO3C17QQEM35,DUS,6 Îlot des Fournaches Espace Fernand Coudeyras,,Lavilledieu,,07170,FR
2549002OKOJ8DYH5QX61,Vidurta,Rué,"59, Rue Charlot",Paris,,75003,FR
254900CI6QR8N6DGDJ34,GATPHARM LIBERATION,,"214, Cours de la Libération et du Général de Gaulle",Grenoble,,38100,FR
254900URWNTRQ778K041,Clement Reboul Production,rué,"12, Rue du Morbras",Paris,,94510,FR
254900AFSKOI8P52NQ14,IRULAN,rué,"2, Rue des Pluviers",Andernos-les-Bains,,33510,FR
254900B3OX56FHSFZI79,AED E-COMMERCE,"14 rue de l'artisanat, zone artisanale de la nivardière",,Pont St Martin,,44860,FR
254900OQYT73DRSXAL51,RCH CAPITAL,Placé,"16, Place des Quinconces",Bordeaux,,33000,FR
254900JKDYB1X6Q8DT19,MARGAUX BOUVAREL,Dé,"27, Chemin de Champlong",LYON,,69450,FR
2549002SZ95ZWZZDZN70,SNC EOLIE,rué dé Moncéau,"47, Rue de Monceau",Paris,FR-IDF,75008,FR
254900TS1XLQE0QMT231,CHRISSCHOLLY,Butté,"13, Butte Urban",Haguenau,,67500,FR
254900UUE7LNTGX8Z338,Hartza Capital,mädame,"5, Chemin de Madame",Bayonne,,64100,FR
254900TVA5XXJ1ATOH36,DIN INVEST,Jéan-Baptiste Clement,"18, Quai Jean Baptiste Clément",Paris,,94140,FR
254900EKOE9IA7883A03,Optelios Capital,Trémoille,"9, Rue de la Tremoille",Paris,,75008,FR
2549009G9M6DWN9U2067,Datupview,"Maisières, Grandé","189, Rue Grande",Fontainebleau,,77300,FR
2549003RW4Y90S97BS64,LE MEDIA,,"242, Boulevard Voltaire",Paris,FR-IDF,75011,FR
254900EPG2NFJHR6DF07,Valor Dugny,rué Francois Ier,"33, Rue François 1er",Paris,,75008,FR
254900IKUHDUNSKDJK46,NEWTECH AUDIT ET CONSEIL,"6002, cs 6002 avenué","112, Avenue de Paris",VINCENNES,,94306,FR
25490073B54MM26Y2B46,LA STELLA,"Seneffe, Rue Sergen","19, Ruelle du Sergent",Paris,FR-IDF,78490,FR
254900YR7LZ1LVMXSG90,Aurona,Rué Vendome,"254, Rue Vendôme",Lyon,,69003,FR
254900LRW4A5W03EHN26,EXETER LIEUSAINT 1 (FRANCE) SCI,37 avenue Pierre 1er De Serbi,,Paris,,75008,FR
254900KSX2XBRYF0TH78,EXETER SECLIN 1 (FRANCE) SCI,"C/O Alter Domus France, 37 avènue Pierre 1er de Serbie",,PARIS,,75008,FR
254900YZTR1PBHIKD764,EXETER SATOLAS 1 (FRANCE) SCI,"C/O Alter Domus Francé, 37 avenue Pierre 1er de Sérbié",,Paris,,75008,FR
2549006VV97VFPX0LQ45,EXETER LA BOISSE 1 (FRANCE) SCI,37 Serbié,Avenue Pierre 1er de Serbie,Paris,,75008,FR
2549002HF947M6U5UV08,EXETER HOUPLINES 1 (FRANCE),,"37, Avenue Pierre 1er de Serbie",Paris,,75008,FR
2549002IWUIKABLTS831,EXETER MEUNG-SUR-LOIRE 1 (FRANCE) SCI,C/O Alter Domus Francé,"37, Avenue Pierre 1er de Serbie",Paris,,75008,FR
254900TLXXSDIZB7ZL55,Quantum Sun,Bd Pästeur,"5, Boulevard Pasteur",Paris,,75015,FR
254900X3Y1OUJZ3LD733,POTENCIEL MW,A,"34, Rue du Sondage Botta",DOMBASLE-SUR-MEURTHE,,54110,FR
254900AJUMZ8C64I2673,WITTY WEALTH MANAGEMENT,"Bâtiment B2, Bâtiment B2","13, Rue Washington",Paris,,75008,FR
254900I3OIS7BY4TLY70,La Praly,Avénué,"8, Avenue d'Eylau",Paris,,75116,FR
254900DYS1V7YD6ZFF88,AAA CONSEIL ET DATA,avenué,"25, Avenue Ferdinand Buisson",Paris,,75016,FR
254900OX3E2ELBBHMZ97,Adaya Advisory,Champs Elysées,"66, Avenue des Champs-Élysées",Paris,,75008,FR
254900A1NZP0SGSA8448,GOKU CORP,,"18, Rue Pollet",Neuville-sur-Saône,,69250,FR
254900U0NZAYB9RPV035,Rania Holding,Rué,"130, Rue de Verdun",Puteaux,,92800,FR
254900TK4JEES1UYTE45,AF Invest,rué,"17, Rue Fourcroy",Paris,,75017,FR
254900ZVHG52RTIWY332,SCI GLP AUTRÈCHE,Rué,"36, Rue Marbeuf",Paris,FR-MF,75008,FR
254900HFIY394WNJA119,CEL V VILLENEUVE (FR) SCI,Hoché,"8, Avenue Hoche",Paris,,75008,FR
254900IQCH81J3E47X26,SILEX TECHNOLOGIES,rué,"32, Rue de Monceau",Paris,FR-IDF,75008,FR
25490089RQ30VOQFN207,Arcis,,"9, Rue des Tuiliers",Lyon,FR-ARA,69003,FR
254900J5SGNXYT1J7336,MIRADOR,TERMé,"16, Chemin du Camp del Terme",PONT-DE-LARN,,81660,FR
254900Y1T1MSULW2NI83,Cabinet Dentaire Trincado,39 Avnué de Verdun,,Biarritz,,64200,FR
2549009US4ZZ2115G686,Monoceros Systemes,Lecomté,"16, Avenue Lecomte",Villiers-sur-Marne,,94350,FR
254900ITKMGRMYF09N60,SELARL BISMUTH JEAN-MARC,,"75, Rue Judaïque",Bordeaux,,33000,FR
254900EQPN7NX1L9ES04,OIKOR,"Anderlecht, A","2, Rue des Trèfles",Dambach-la-Ville,,67650,FR
254900MCS0QGKOM1FL44,WKL Holding,ruè,"5, Rue du Helder",PARIS,,75009,FR
254900CQQ9YCSYUAOU41,LMH,"94 Rue du Pavé de Grignon, Jardins de Grignon-Maison 13",,Thiais,,94320,FR
254900J1XFH2CB01MD14,CYTICLO,Boulévard Menilmontant,"63, Boulevard de Ménilmontant",Paris,,75011,FR
254900MN007Y2RU8DW69,MONTIS AURUM,ruè,"4, Rue de la Sorbonne",PARIS,,75005,FR
254900BC6C0XS9XSU049,CABINET PHILIPPE ROUER SARL,,"133 Bis, Rue de l'Université",Paris,,75007,FR
254900RPQSHNBWZ49G63,SCI NOVO,Boulèvard,"37, Boulevard Aristide Briand",Aix-en-Provence,,13100,FR
254900BZ0AUEB0LVM461,QUALITECH CONSULTING,,"1, Allée de la Dordogne",Massy,,91300,FR
254900OESQBA7MZAO581,GML CONSEIL,rué Marcq-en-Baroeul,"41, Rue de Marcq-en-Barœul",Wasquehal,,59290,FR
25490078DQ4YLBD92S07,Groupe Vendome,,"6, Rue d'Armaillé",Paris,,75017,FR
254900CH6UWSXN5I9G52,Citadelle Assets Horizon,,"65, Rue Kogn ar Yar",Brést,,29200,FR
254900JZGQ7MLSJBGY42,Figanec,Rué,"98, Rue Lamarck",Paris,,75018,FR
254900TK4H7JQS4KIU11,OUEST INDUSTRIES CONSEIL,Avénue,"184, Avenue du Sequoia",Nantes,,44300,FR
254900YTG69LRESC0A08,GINKGO 3 CONSEIL,Placé,"4, Place Violet",Paris,,75015,FR
25490092PRRNCCVI7Q55,QuantEcon,,"21 Bis, Quai Aristide Briand",Triel-Sur-Seiné,,78510,FR
25490060QHRHW29QK925,BakerSec,Gaullé,"144, Avenue Charles de Gaulle",Neuilly-sur-Seine,,92200,FR
254900SP40KTHQL9IK46,SCI Beausite,C/O Sogédom,"4, Rue Prato",Beaulieu-Sur-Mer,FR-PAC,06500,FR
254900BENLOPE5YUC337,SCI ALFORTVILLE,,"20, Avenue Mac-Mahon",Paris,,75017,FR
254900RMDURMTKN82615,SERTIC VEMARS SCI,ävenue,"53, Avenue Victor Hugo",Paris,,75116,FR
254900B4769PUCLN6N38,SERTIC LISSES SCI,,"6, Rue de la Michodière",Paris,,75002,FR
254900AKXK6O2SM7IM17,P2N INVEST,Roché,"4, Rue Fontaine de la Roche",Sassenage,,38360,FR
254900D7P47OQ15W5A92,SENIOR CONSEIL,,"8, Allée Thaddy",Bourg-La-Reine,,92340,FR
254900XF78QYXW1BIO16,ARCA 3,Alleé,"14, Allée du Fief Lambert",Gif-Sur-Yvette,,91190,FR
2549009NG9A9J5LFO855,YUN HAUTEVILLE,d'Hautevillé,"96, Rue d'Hauteville",Paris,FR-IDF,75010,FR
254900RJE2EJXBEG3K77,OPG RUE BLANCHE,Malesherbès,"25, Boulevard Malesherbes",Paris,,75008,FR
2549008YNZNZJM039853,WESTLOG,Sainte-Foy-les-Lyon,"7, Rue du Vingtain",Lyon,,69110,FR
254900IO4LI789ZQYN56,PROXIMA PERIPARK 1,rué Quatre-Septembre,"9, Rue du 4 septembre",Paris,,75002,FR
254900FE3HCM34TUGR32,PROXIMA PERIPARK 2,Rué Quatre-Septembre,"9, Rue du 4 septembre",Paris,,75002,FR
254900E2QZCIZUMBY856,RL Invest,,"49, Rue de Suez",Marseille 7e Arrondissement,,13007,FR
2549009G1HS5BJ2C4Z20,PRAGMA INTELLIGENCE,rué,"10, Rue Alibert",Paris,,75010,FR
254900FMYN54KGQA7459,CANARI.DEV,Rué,"13, Rue Cortambert",Paris,,75016,FR
254900PHWW5PCFNP5705,DIGITAL CRAFTING,1ere Libré,"7, Rue de la 1ère Div Fr libre",Saint-Mandé,,94160,FR
254900E6FBV0QS19IZ21,Milau,MARJOLÎN,"55, Rue Marjolin",LEVALLOIS-PERRET,FR-IDF,92300,FR
254900ZH0HW8EK3Z2015,SEEMANTIK,rué,"229, Rue Saint-Honoré",Paris,,75001,FR
2549009FMPLCJKHOIW96,BonjourXpress,Le Port 50 Boulevard Stalingrad,,Nicé,,06300,FR
254900JEOX1FXERA6O69,Scorpio Bidco,BD Dé SEBASTOPOL,"3, Boulevard de Sébastopol",PARIS,FR-IDF,75001,FR
254900UQGU2VUACODP74,MICKFIN,,"15, Rue Pétrarque",Paris,,75116,FR
254900U3BGFIPW17V471,SOCIETE RBITRAGE,Ter dès,"27, Rue des Marais",Viroflay,,78220,FR
254900IO2BJFA5B0BP37,CHC ADVISORY,Route,"21, Rue de Fougères",Cesson-Sevigne,,35510,FR
254900M3B1S86XQN5P04,OXIANET,Rué Boite A,"1, Rue de la Boîte À Bougies",STRASBOURG,,67100,FR
254900K0636XSCT9VK38,MDS CAPITAL,Lurin route de Gouverneur chemin du Figuier,,Saint-Barthélemy,,97133,FR
254900R069TAMZ842D59,AGRAKAL,Chänzy,"39, Rue Chanzy",Paris,,75011,FR
254900S31ODNB7TYIU70,FOCUS GROUP,,"6, Rue d'Armaillé",Paris,,75017,FR
2549007QHNTV2OP8VS66,BRK,,"16, Rue Albéric Magnard",Paris,,75116,FR
2549009PA6WMZTYDYH90,OEA ESQ,Iér,"16, Cours Albert 1er",Paris,,75008,FR
2549003783N3OQERVD12,SAS LSDG,63,Rue Principale,Gries,,67240,FR
254900AII0YCQO0J8I89,APEX,RUÉ,"50, Rue Beaunier",PARIS,FR-IDF,75014,FR
254900YN7FDCEV12HV20,On Bill Boolim,Gérbault,"101, Rue du Mont Gerbault",Epinay-sur-Seine,,93800,FR
2549008IU1J3W92C6J59,PREC LION ROUGE SNC,37 Serbié,Avenue Pierre 1er de Serbie,Paris,,75008,FR
254900YOG6XUB097PH16,Impulse IT,Rué,"9, Rue Ambroise Croizat",Guyancourt,,78280,FR
2549008UCX59LG42PB43,FCMG SAS,36 Rué Diderot,,Pantin,,93500,FR
2549001F8IZLTTFFNK47,MOVES,Zi Athélia 2,"531, Avenue du Serpolet",La Ciotat,,13600,FR
2549004AXX73M3LVBL26,AARTILL,35 LIEU-DIT LA NOUETTÉ,,MELESSE,FR-BRE,35520,FR
254900SUFTOHKRMI7466,MBR INVEST,Rõute,"910, Route de Puyricard",Aix-en-Provence,,13090,FR
25490065HLBMIYB04O18,Spiko,,"16, Rue des immeubles Industriels",Paris,,75011,FR
2549009AVBV4N1L2E246,Tarchi Tech Groupe,40 rué,Rue du 8 Mai 1945,Haubourdin,,59320,FR
254900W0B0JN4G0KQO94,CLAIR ET NET PRODUCTIONS,Avenué,"80, Avenue Ribot",Le plessis-Bouchard,FR-IDF,95130,FR
254900DO2WKV9GDLNS57,MOUGINS RIVIERA DEVELOPMENTS,410 CHEMIN DES MOINES,,MOUGÎNS,FR-PAC,06250,FR
2549003QHIY9UXQIA345,MANGO CRYPTO,RUÉ,"9, Rue des Colonnes",PARIS,,75002,FR
254900Z03X2JWOOG2478,UBIK HOLDINGS,Bellemé,"5, Chemin Belleme",Les Avirons,,97425,FR
254900EXYIFMWCH5R174,CC8,rué,"140, Rue de Courcelles",Paris,FR-IDF,75017,FR
254900SM18DEFPAKIF70,GREEN DOM',377 Rué,Rue Jean-Jacques Rousseau,La Ravoire,,73490,FR
2549009NZQ6LOMLRMB53,BATTISTINI BDC,Dé,"7, Rue de Sennecey",Chevigny-Saint-Sauveur,,21800,FR
254900R53NHCGGAZOO60,RESILIENCE,1490 lieu-dit,Le Beau Moulin,Trévières,,14710,FR
254900Z03B741L5EST86,Eclair SCI,avenuè,"15, Avenue Matignon",Paris,,75008,FR
254900QI1EEJKSJ30210,Mistral Holdco SAS,säint-Petersbourg,"36, Rue de Saint-Pétersbourg",Paris,FR-IDF,75008,FR
254900ILKWZVMSF09K88,Maya Services,"Mazy, Rué Saint-Martin","7, Rue de Saint Martin",Pougny,,58200,FR
254900TK0BFO85Q1M940,RB-HOLDING,Rué,"27, Rue du Sinot",Magny-Le-Hongre,,77700,FR
2549007K9YGASDBW6F19,MJT Consulting,,"6, Rue d'Armaillé",Paris,,75017,FR
2549002PF23YLDL3UN46,Cotam Capital,Rué Boetie,"128, Rue La Boétie",Paris,,75008,FR
