RegistrationNo,CompanyName,BuildingNumber,StreetName,TownName,CountrySubDivision,PostCode,Country
2549003M91S5SBOHM103,AL INVEST,,"118, Chemin de Crouze",TIGNES,,73320,FR
8945002C2E5EL3P6RA40,LUSIMEO,GUE,"10, Avenue du Gué Langlois",Bussy-Saint-Martin,FR-77,77600,FR
8945002FWYVLJMY64647,NAONED INVEST,FELIBIEN,"25, Rue Félibien",NANTES,,44000,FR
8945002G2IFD6MA1RQ23,TRANSPORT LUTECE,440 CLOS DE LA COURTINE,,NOISY LE GRAND,,93160,FR
8945002G81Z4TLLXFA76,VERDEZ FINANCES,,"115, Rue des Teinturiers",AMIENS,,80080,FR
984500YC1B074D1AD610,TILT VALUE,B,"87, Route du Point du Jour",SAINT-NAZAIRE,,44600,FR
8945002BRB1VB51FG639,EARL LA FERME AUX CACTUS,,Chemin du Stade,CARQUEIRANNE,,83320,FR
8945002BLRI3O5PJSM79,SELARL WILD DECRETTE,CITE,"17, Rue de la Petite Cité",evreux,,27000,FR
8945002AZLB148E16E85,SPFPL DE MEDECIN VISION EURE,,"17, Rue de la Petite Cité",evreux,,27000,FR
89450029LPD4DEF4AE17,ACQ SERVICES,,"710, Rue Aristide Berges",MONTBONNOT-SAINT-MARTIN,,38330,FR
89450029AM9L3FRCZA70,FINANCIERE AMS,,"8, Rue Lemercier",PARIS,,75017,FR
9845003E69SB8F0AD374,SCI LA MAISON DES ANGES,B,"87, Route du Point du Jour",SAINT-NAZAIRE,FR-44,44600,FR
89450028ZJ61TH3LO641,HBN & CO,,"451, Route du Tang",SALLES-ARBUISSONNAS-BEAUJOLAIS,,69460,FR
89450020D4F22IMD1233,FINANCIERE GROUPE MICHEL,,"30, Rue Principale",LE HOHWALD,,67140,FR
8945001WTMSEDY14ZA68,FLA EXPERTISES,32 AVENUE THEOPHILE GAUTIER,,PARIS,,75016,FR
8945001O781EMZJWC673,DUGUE COURTAGE,,"4, Boulevard Chateaubriand",SAINT-MALO,,35400,FR
8945001O1OHN0080OM69,PIZZERIA DI TREVI,ZAC DU GRIFFON,,VITROLLES,,13127,FR
8945001JKXKDHJNIPI54,ALLIANCE TECHNOLOGIES,92,Boulevard Victor Hugo,CLICHY,,92110,FR
8945001J9UGU7KZREE49,SELARL DOCTEUR LAURENCE ABTAN,,"121, Rue de la Pompe",PARIS,,75016,FR
8945001TA55QPDFWXI50,FAROVA,IMP DU PELIGIOU,,MARTIGUES,,13117,FR
8945001I71MGQPOLTI70,PLUS QUE LES MOTS,,"32, Rue Victor Hugo",PUTEAUX,,92800,FR
8945001I1I2P3QCQ5Y57,A&L FACTORY,PERI,"83, Rue Gabriel Péri",FONTENAY-SOUS-BOIS,,94120,FR
89450016158TB6M54M36,HOTEL EUROPARC MARNE-LA-VALLEE,"BOULEVARD DE COURCERIN, HOTEL EUROPARC",,Lognes,FR-77,77185,FR
8945000QXXFKR09Z0657,VELCOREX,,"14, Rue du Commandant Marceau",Saint Amarin,,68550,FR
8945001KZ0TU5UK8LN38,M.A.P.I,,"9, Allée des Gabiers",Lannion,,22300,FR
969500PJM0QGQMKKZL65,NO NOOB,,"9, Rue des Colonnes",PARIS,,75002,FR
9695007TW2J5HEWATW32,DADURE CONSEIL,,"17, Rue d'Assas",PARIS,,75006,FR
96950064T2NXVJOYPS10,ELVIN COMMUNICATION,,"50, Boulevard Diderot",PARIS,,75012,FR
969500VV1Z8983787M13,SC SALANA,CHEVROTIERE,"18, Chemin de la Chevrotière",SAINT-DIDIER-AU-MONT-D'OR,,69370,FR
969500YQ8RB6FQVDON59,FINANCIERE AMLR,D’AMERIQUE,"10, Rue du Prix d'Amérique",OZOIR-LA-FERRIERE,,77330,FR
969500SQJDFI93M0VL30,TECHNOMIKA,COLISEE,"10, Rue du Colisée",PARIS,,75008,FR
96950058YTGRI7L2Q019,HOTEL BRITTANY & SPA,SAINTE BARBE,"22, Boulevard Sainte-Barbe",ROSCOFF,,29680,FR
9695007THOOCJX3KEO28,59 GRANGE COLOMBE,,"59, Rue de la Grange Colombe",RAMBOUILLET,,78120,FR
969500G80GSAKMUYGN10,HRVP,MENIVAL,"10, Avenue de Ménival",LYON,,69005,FR
969500MPS21CDVI39E30,POLANJE,,"61, Chemin du Fremureau",SAINTE-GEMMES-SUR-LOIRE,,49130,FR
969500NTRU3ND2V2X363,N & P CONSEILS,Gouy-lez-Piéton,"4, Rue du Chaufour",FLUY,,80540,FR
96950052WBSJO1SW5S80,DIGIBURO,CESSON SEVIGNE,"1, rue de Paris",CESSON-SEVIGNE,,35510,FR
969500EVR6LOPDVYOQ97,VIMAFORA,"Custinne, CHAMP","2, Rue Champs du Moulin",CESSON-SEVIGNE,,35510,FR
969500F7W63P99FGJJ72,LORRINVEST,"ALLEE L'EPINETTE, ZAC LA SOLERE","15, Allée de l'Épinette",SAULXURES-LES-NANCY,,54420,FR
969500KLARL11XWB5R07,TECHNOFLEX DEVELOPPEMENT,BASSILOUR,,BIDART,,64210,FR
969500FU00IMQP6YPW86,MACON HABITAT OFFICE PUBLIC DE L'HABITAT DE MACONNAIS BEAUJOLAIS AGGLOMERATION,"211 RUE PDT KENNEDY, ESPACE D'AFFAIRES KENNEDY",,MACON,,71000,FR
969500PMQCQE20JZCL18,MAGIC SOLAR,,"32, Rue des Treilles",NOE,,31410,FR
969500HOE3I8H3UM5I23,BATILOOCK 79,"1 ROUTE DE MELLE, LIEU-DIT LE PONTEREAU",,SAUZE-VAUSSAIS,,79190,FR
969500A615N85HTVKK74,FINANCIERE ANV,DOMAINE MONTESSUY,Route de Marlieux,CHATILLON-SUR-CHALARONNE,,01400,FR
96950018KEZZZSK4IZ40,WOODSTOCK TRADING,,"70, Rue Ambroise Croizat",SAINT-DENIS,,93200,FR
969500CMP0FDGEX9DC37,DALPIN,BRUYERE,"44, Chemin de la Bruyère",DARDILLY,,69570,FR
9695006NH7VL2Q9LUJ82,SARL BESSEAS,11 ECOLES,Rue des Écoles,GENAY,,69730,FR
9695006BQRQGYBO55332,OT CONSEILS,"Le Centre, 23T","23, Chemin des Ananas",LES AVIRONS,,97425,FR
969500TW82CUJPZKPC82,SOCIETE DE CHASSE DU BOISGABARRE,LE BOIS GABARRE,,MACHECOUL-SAINT-MEME,,44270,FR
969500S5H0VDP4ROSI49,PDLA,THEROIGNE MERICOURT,"290, Avenue Théroigne de Méricourt",MONTPELLIER,,34000,FR
9695004TQBMDRYLLZ863,MANTES ASIE STORE,"a 19, MARECHAL","17, Boulevard du Maréchal Juin",MANTES-LA-JOLIE,,78200,FR
969500P7LK1PJRCO0H23,SARL CHAGUIAL,FECAMP,"21, Rue de Fécamp",PARIS,,75012,FR
969500IHD17EVU2G0H26,HOLDING JLNK,,"24, Rue Germaine Beaumont",BRETTEVILLE-SUR-ODON,,14760,FR
9695002OM4D5YAZY0V37,SCIMMO LS EUROPE,FRERES LUMIERE,"420, Avenue des Frères Lumière",LA VALETTE-DU-VAR,,83160,FR
969500R2JB44CP6R6013,SCIMMO LS PAUL,FRERES LUMIERE,"420, Avenue des Frères Lumière",LA VALETTE-DU-VAR,,83160,FR
969500SRX7ENRKPVE768,ALEX AND GREG,,"40, Rue Ramey",PARIS,,75018,FR
969500Y38I8TCDRXBK97,SCIMMO LG ROBESPIERRE,FRERES LUMIERE,"420, Avenue des Frères Lumière",LA VALETTE-DU-VAR,,83160,FR
969500UA45DPVB9QV171,MON COURTIER RENOVATION,,"6, Rue Chanzy",DIJON,,21000,FR
969500INYQ7IO4SNJV05,HOLDING ROUSSEL,,"23, Rue du Tuqueou",SAINT-PAUL-LES-DAX,,40990,FR
969500JPJQWEX7B9JC74,SOCIETE D'INVESTISSEMENT REMY MORONI - S.I.R. MORONI.,,"7, Rue Gabriel Voisin",REIMS,,51100,FR
969500O36LEEZF7PAC67,CAPITAL CROISSANCE DEVELOPPEMENT (CCD),,"187, Rue d'Ethivy",BEAUVALLON,,69700,FR
9695009X4YBR8N3U6A11,L&L ACCESS,ZAC MESTRE MARTY,,ESTILLAC,,47310,FR
969500Y4C3GQAK9F1Z90,GP FINANCE,,"3, Rue du Moulin Neuf",VIGNEUX-DE-BRETAGNE,,44360,FR
969500OO7YAUL9K03U52,SCM CONSEIL,,"19, Rue le Marois",PARIS,,75016,FR
969500VK43YNEN3B8871,JOWI,ALLEE,"31, Allée Charles Gounod",GUJAN-MESTRAS,,33470,FR
9695005E7NX0MWHC2K03,ACRP INVESTISSEMENT,,"7, Rue Lazare Carnot",LA TALAUDIERE,,42350,FR
969500EY1YNMNOOML634,AUDREYLIE,"82 RUE DE MADRID, RESIDENCE EDOUARD VII QUARTIER ILBARITZ",,BIARRITZ,,64200,FR
9695008UE051BJG4CD12,A QUICK RENTAL,,"125, Rue de la Dent du Chat",VOGLANS,,73420,FR
9695004ZLIZFTUOO5D64,LES 3 C,271 ROUTE DU MOUTONNET,,NOTRE-DAME-DES-MILLIERES,,73460,FR
96950082TB6SFC6U3N22,FRAMALIZ,Huy,"11, Rue de la Motte",LE COUDRAY-MACOUARD,,49260,FR
969500YQKU42WG5P7G80,YOUCANGO,,"10, Rue Du Parc",BASSE-GOULAINE,,44115,FR
